Date,Bitcoin,Etherum,Solana,USDC
2023-04-01,"29,912.00","1,725,576.50",313590.00,96431.00
2023-04-02,"30,557.00","1,231,515.14",298280.00,72648.00
2023-04-03,"38,231.00","1,327,789.32",331286.00,99396.00
2023-04-04,"50,623.00","2,401,020.16",325959.00,94892.00
2023-04-05,"57,304.00","2,641,223.72",314439.00,96415.00
2023-04-06,"47,537.00","1,179,038.09",314822.00,120420.00
2023-04-07,"33,194.00","1,192,468.64",298376.00,103770.00
2023-04-08,"25,467.00","1,333,338.77",291326.00,95971.00
2023-04-09,"25,789.00","871,712.57",290472.00,59589.00
2023-04-10,"44,478.00","2,635,638.49",281640.00,64622.00
2023-04-11,"49,940.00","2,059,642.51",289340.00,65417.00
2023-04-12,"42,355.00","1,942,135.19",287264.00,59104.00
2023-04-13,"48,058.00","1,360,286.33",278990.00,57324.00
2023-04-14,"36,849.00","1,628,058.35",265590.00,53255.00
2023-04-15,"25,081.00","1,033,866.58",238279.00,77971.00
2023-04-16,"25,425.00","897,445.58",255030.00,90912.00
2023-04-17,"38,178.00","1,859,428.09",252642.00,80146.00
2023-04-18,"58,847.00","4,581,071.73",263252.00,75458.00
2023-04-19,"40,450.00","2,552,994.79",256750.00,73540.00
2023-04-20,"42,566.00","1,845,918.63",234661.00,76212.00
2023-04-21,"34,940.00","1,757,317.78",219997.00,74049.00
2023-04-22,"26,232.00","1,145,328.52",213790.00,62521.00
2023-04-23,"17,928.00","769,399.19",197038.00,55833.00
2023-04-24,"27,880.00","931,598.03",235815.00,83772.00
2023-04-25,"34,755.00","1,197,915.95",283678.00,92527.00
2023-04-26,"37,690.00","1,038,874.42",230133.00,59865.00
2023-04-27,"34,994.00","1,128,066.61",241820.00,88532.00
2023-04-28,"35,852.00","960,463.33",233095.00,75078.00
2023-04-29,"29,304.00","817,324.40",203398.00,74457.00
2023-04-30,"29,853.00","914,533.68",223380.00,66390.00
2023-05-01,"34,155.00","2,001,404.72",235479.00,86942.00
2023-05-02,"38,516.00","1,093,236.73",228975.00,99767.00
2023-05-03,"34,899.00","951,974.31",215585.00,103000.00
2023-05-04,"31,468.00","617,537.27",215340.00,68745.00
2023-05-05,"28,571.00","725,053.43",227769.00,59576.00
2023-05-06,"27,877.00","1,702,689.24",227911.00,73679.00
2023-05-07,"26,333.00","666,869.54",222824.00,50100.00
2023-05-08,"37,610.00","687,637.92",234160.00,54681.00
2023-05-09,"38,326.00","812,972.35",237523.00,72553.00
2023-05-10,"42,821.00","769,369.46",285088.00,74270.00
2023-05-11,"37,841.00","1,197,278.02",274059.00,95653.00
2023-05-12,"35,333.00","796,135.69",262525.00,75163.00
2023-05-13,"29,796.00","753,866.90",241367.00,74484.00
2023-05-14,"30,262.00","894,318.23",223470.00,90376.00
2023-05-15,"41,711.00","966,251.79",272914.00,93814.00
2023-05-16,"51,930.00","796,649.79",290294.00,104062.00
2023-05-17,"44,966.00","775,684.04",306618.00,82285.00
2023-05-18,"45,683.00","935,567.00",342585.00,99338.00
2023-05-19,"37,830.00","1,778,453.69",324402.00,116489.00
2023-05-20,"33,241.00","698,779.21",289406.00,126626.00
2023-05-21,"28,589.00","826,236.91",277603.00,98568.00
2023-05-22,"58,888.00","768,443.59",262797.00,118271.00
2023-05-23,"66,772.00","767,429.55",281163.00,107759.00
2023-05-24,"78,135.00","908,111.59",289778.00,112713.00
2023-05-25,"89,633.00","752,666.54",274142.00,103567.00
2023-05-26,"92,408.00","828,258.58",333606.00,95470.00
2023-05-27,"99,308.00","683,026.32",307781.00,87142.00
2023-05-28,"100,556.00","811,208.25",260063.00,87846.00
2023-05-29,"130,513.00","846,347.88",307896.00,91304.00
2023-05-30,"119,362.00","1,043,520.06",302597.00,110244.00
2023-05-31,"86,642.00","1,058,650.49",272384.00,123185.00
2023-06-01,"60,328.00","1,330,714.24",296226.00,112471.00
2023-06-02,"95,412.00","528,134.44",284262.00,88309.00
2023-06-03,"116,562.00","668,862.68",257417.00,106157.00
2023-06-04,"66,542.00","1,181,763.53",255003.00,135630.00
2023-06-05,"63,124.00","685,397.46",276866.00,83530.00
2023-06-06,"29,784.00","786,498.74",291382.00,81760.00
2023-06-07,"87,028.00","805,335.00",256554.00,82342.00
2023-06-08,"84,383.00","995,443.94",237391.00,89223.00
2023-06-09,"76,387.00","734,943.68",259244.00,99861.00
2023-06-10,"81,777.00","781,097.18",260886.00,74080.00
2023-06-11,"74,630.00","445,588.16",247189.00,70841.00
2023-06-12,"74,302.00","761,564.56",293503.00,81572.00
2023-06-13,"80,775.00","827,691.34",331949.00,86099.00
2023-06-14,"75,633.00","1,033,519.60",380293.00,95489.00
2023-06-15,"27,152.00","580,041.02",349654.00,112427.00
2023-06-16,"61,361.00","582,264.74",298836.00,93996.00
2023-06-17,"64,220.00","635,852.49",263815.00,73819.00
2023-06-18,"49,112.00","606,085.00",250544.00,61442.00
2023-06-19,"81,868.00","644,785.05",282229.00,80320.00
2023-06-20,"92,567.00","853,261.11",304493.00,95828.00
2023-06-21,"76,615.00","661,394.54",307286.00,79862.00
2023-06-22,"106,652.00","1,311,640.42",289355.00,78463.00
2023-06-23,"105,413.00","671,427.29",277889.00,66855.00
2023-06-24,"77,013.00","728,503.94",248767.00,85501.00
2023-06-25,"57,615.00","763,535.10",273459.00,74284.00
2023-06-26,"107,868.00","832,739.22",285471.00,75313.00
2023-06-27,"44,240.00","629,437.24",287577.00,77850.00
2023-06-28,"77,428.00","891,594.98",299162.00,79338.00
2023-06-29,"111,072.00","694,707.39",319956.00,81287.00
2023-06-30,"89,738.00","800,897.38",322175.00,100070.00